"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"31.12.2014","2,3345","2,3287","2,3400","2,3210","","0,24%"
"30.12.2014","2,3289","2,3180","2,3510","2,3119","","0,49%"
"29.12.2014","2,3176","2,3166","2,3292","2,3137","","0,00%"
"26.12.2014","2,3175","2,3197","2,3232","2,3132","","-0,15%"
"25.12.2014","2,3210","2,3181","2,3230","2,3130","","0,16%"
"24.12.2014","2,3173","2,3218","2,3262","2,3112","","-0,23%"
"23.12.2014","2,3226","2,3151","2,3267","2,3117","","0,34%"
"22.12.2014","2,3148","2,3091","2,3237","2,3082","","0,12%"
"19.12.2014","2,3121","2,3218","2,3347","2,3077","","-0,47%"
"18.12.2014","2,3230","2,3392","2,3419","2,3102","","-0,65%"
"17.12.2014","2,3381","2,3602","2,3777","2,3082","","-1,14%"
"16.12.2014","2,3650","2,3771","2,4150","2,3420","","-0,46%"
"15.12.2014","2,3760","2,2977","2,3946","2,2917","","3,35%"
"12.12.2014","2,2990","2,2777","2,3117","2,2667","","0,90%"
"11.12.2014","2,2784","2,2667","2,2827","2,2562","","0,53%"
"10.12.2014","2,2663","2,2670","2,2702","2,2562","","-0,05%"
"09.12.2014","2,2674","2,2694","2,2721","2,2542","","-0,05%"
"08.12.2014","2,2686","2,2650","2,2822","2,2570","","0,34%"
"05.12.2014","2,2610","2,2347","2,2662","2,2312","","1,20%"
"04.12.2014","2,2342","2,2402","2,2452","2,2290","","-0,35%"
"03.12.2014","2,2420","2,2327","2,2465","2,2275","","0,48%"
"02.12.2014","2,2312","2,2152","2,2342","2,2127","","0,74%"
"01.12.2014","2,2149","2,2228","2,2302","2,2132","","-0,21%"
"28.11.2014","2,2196","2,2067","2,2236","2,2042","","0,56%"
"27.11.2014","2,2072","2,2108","2,2202","2,2046","","-0,15%"
"26.11.2014","2,2106","2,2192","2,2291","2,2087","","-0,41%"
"25.11.2014","2,2197","2,2301","2,2392","2,2190","","-0,46%"
"24.11.2014","2,2300","2,2210","2,2332","2,2157","","0,37%"
"21.11.2014","2,2218","2,2193","2,2294","2,2138","","0,10%"
"20.11.2014","2,2196","2,2324","2,2433","2,2187","","-0,56%"
"19.11.2014","2,2320","2,2215","2,2432","2,2192","","0,48%"
"18.11.2014","2,2214","2,2313","2,2322","2,2157","","-0,44%"
"17.11.2014","2,2312","2,2286","2,2347","2,2232","","0,07%"
"14.11.2014","2,2296","2,2416","2,2497","2,2290","","-0,56%"
"13.11.2014","2,2422","2,2532","2,2557","2,2338","","-0,41%"
"12.11.2014","2,2514","2,2570","2,2662","2,2462","","-0,24%"
"11.11.2014","2,2568","2,2597","2,2732","2,2553","","-0,12%"
"10.11.2014","2,2594","2,2571","2,2612","2,2432","","0,06%"
"07.11.2014","2,2580","2,2636","2,2820","2,2560","","-0,25%"
"06.11.2014","2,2636","2,2441","2,2662","2,2332","","0,86%"
"05.11.2014","2,2443","2,2212","2,2497","2,2207","","0,94%"
"04.11.2014","2,2235","2,2349","2,2386","2,2185","","-0,54%"
"03.11.2014","2,2355","2,2194","2,2435","2,2194","","0,52%"
"31.10.2014","2,2240","2,1996","2,2275","2,1900","","1,15%"
"30.10.2014","2,1988","2,2150","2,2267","2,1966","","-0,74%"
"29.10.2014","2,2153","2,2067","2,2193","2,1902","","0,39%"
"28.10.2014","2,2066","2,2300","2,2335","2,2012","","-1,02%"
"27.10.2014","2,2294","2,2282","2,2437","2,2282","","-0,09%"
"24.10.2014","2,2313","2,2365","2,2442","2,2302","","-0,21%"
"23.10.2014","2,2360","2,2468","2,2520","2,2280","","-0,46%"
"22.10.2014","2,2463","2,2457","2,2512","2,2392","","0,05%"
"21.10.2014","2,2451","2,2444","2,2482","2,2342","","0,06%"
"20.10.2014","2,2437","2,2448","2,2529","2,2379","","-0,10%"
"17.10.2014","2,2460","2,2627","2,2682","2,2427","","-0,75%"
"16.10.2014","2,2629","2,2696","2,2857","2,2582","","-0,28%"
"15.10.2014","2,2693","2,2728","2,2862","2,2537","","-0,16%"
"14.10.2014","2,2730","2,2696","2,2882","2,2662","","0,14%"
"13.10.2014","2,2698","2,2870","2,2875","2,2642","","-0,81%"
"10.10.2014","2,2884","2,2704","2,2892","2,2692","","0,83%"
"09.10.2014","2,2695","2,2614","2,2704","2,2495","","0,29%"
"08.10.2014","2,2630","2,2765","2,2977","2,2619","","-0,54%"
"07.10.2014","2,2753","2,2682","2,2798","2,2640","","0,33%"
"06.10.2014","2,2678","2,2916","2,2931","2,2662","","-1,15%"
"03.10.2014","2,2942","2,2668","2,3071","2,2637","","1,22%"
"02.10.2014","2,2665","2,2834","2,2852","2,2632","","-0,74%"
"01.10.2014","2,2833","2,2784","2,2937","2,2737","","0,22%"
"30.09.2014","2,2782","2,2801","2,2887","2,2687","","-0,02%"
"29.09.2014","2,2786","2,2620","2,2907","2,2602","","0,72%"
"26.09.2014","2,2623","2,2611","2,2687","2,2522","","0,06%"
"25.09.2014","2,2610","2,2363","2,2677","2,2352","","1,09%"
"24.09.2014","2,2366","2,2403","2,2427","2,2277","","-0,12%"
"23.09.2014","2,2393","2,2410","2,2421","2,2265","","-0,06%"
"22.09.2014","2,2407","2,2328","2,2497","2,2277","","0,27%"
"19.09.2014","2,2347","2,2252","2,2407","2,2161","","0,39%"
"18.09.2014","2,2260","2,2248","2,2372","2,2137","","0,08%"
"17.09.2014","2,2243","2,2041","2,2288","2,2007","","0,95%"
"16.09.2014","2,2033","2,2119","2,2207","2,1977","","-0,40%"
"15.09.2014","2,2121","2,2203","2,2234","2,2057","","-0,49%"
"12.09.2014","2,2230","2,2011","2,2234","2,1972","","1,01%"
"11.09.2014","2,2007","2,1930","2,2029","2,1852","","0,36%"
"10.09.2014","2,1929","2,1969","2,2152","2,1917","","-0,15%"
"09.09.2014","2,1963","2,1730","2,2050","2,1679","","1,05%"
"08.09.2014","2,1735","2,1582","2,1744","2,1554","","0,67%"
"05.09.2014","2,1590","2,1638","2,1709","2,1522","","-0,19%"
"04.09.2014","2,1632","2,1568","2,1649","2,1437","","0,25%"
"03.09.2014","2,1577","2,1724","2,1742","2,1537","","-0,69%"
"02.09.2014","2,1726","2,1602","2,1797","2,1584","","0,55%"
"01.09.2014","2,1607","2,1602","2,1664","2,1534","","-0,15%"
