"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"30.12.2016","3,5277","3,5224","3,5325","3,5095","","0,13%"
"29.12.2016","3,5230","3,5395","3,5441","3,5145","","-0,48%"
"28.12.2016","3,5400","3,5220","3,5505","3,5170","","0,53%"
"27.12.2016","3,5214","3,5123","3,5273","3,5010","","0,27%"
"26.12.2016","3,5118","3,5180","3,5209","3,5046","","-0,15%"
"23.12.2016","3,5169","3,5121","3,5189","3,4975","","0,16%"
"22.12.2016","3,5114","3,5091","3,5191","3,4981","","0,07%"
"21.12.2016","3,5089","3,5270","3,5341","3,5040","","-0,53%"
"20.12.2016","3,5275","3,5338","3,5425","3,5005","","-0,16%"
"19.12.2016","3,5331","3,5067","3,5370","3,4870","","0,75%"
"16.12.2016","3,5068","3,5114","3,5207","3,4820","","-0,15%"
"15.12.2016","3,5119","3,5323","3,5438","3,4990","","-0,58%"
"14.12.2016","3,5323","3,4906","3,5402","3,4545","","1,22%"
"13.12.2016","3,4898","3,4688","3,5054","3,4515","","0,61%"
"12.12.2016","3,4688","3,4816","3,5495","3,4654","","-0,52%"
"09.12.2016","3,4869","3,4422","3,5058","3,4185","","1,27%"
"08.12.2016","3,4433","3,3892","3,4970","3,3384","","1,57%"
"07.12.2016","3,3902","3,4470","3,4600","3,3803","","-1,61%"
"06.12.2016","3,4456","3,5226","3,5415","3,4312","","-2,20%"
"05.12.2016","3,5231","3,5200","3,5626","3,5149","","0,12%"
"02.12.2016","3,5190","3,5042","3,5860","3,4822","","0,44%"
"01.12.2016","3,5037","3,4365","3,5064","3,4255","","1,94%"
"30.11.2016","3,4370","3,4083","3,4421","3,4045","","0,83%"
"29.11.2016","3,4088","3,4143","3,4350","3,4045","","-0,18%"
"28.11.2016","3,4148","3,4515","3,4579","3,4071","","-0,93%"
"25.11.2016","3,4467","3,4458","3,4764","3,4341","","0,03%"
"24.11.2016","3,4455","3,3967","3,4546","3,3697","","1,51%"
"23.11.2016","3,3941","3,3854","3,4181","3,3681","","0,29%"
"22.11.2016","3,3844","3,3616","3,3943","3,3500","","0,68%"
"21.11.2016","3,3616","3,3735","3,3960","3,3500","","-0,41%"
"18.11.2016","3,3753","3,3701","3,4088","3,3540","","0,14%"
"17.11.2016","3,3706","3,3238","3,3782","3,3080","","1,42%"
"16.11.2016","3,3234","3,2916","3,3298","3,2835","","1,00%"
"15.11.2016","3,2906","3,2900","3,2985","3,2630","","0,02%"
"14.11.2016","3,2900","3,2510","3,2995","3,2440","","1,16%"
"11.11.2016","3,2522","3,2510","3,2795","3,2340","","0,04%"
"10.11.2016","3,2509","3,2094","3,2635","3,1928","","1,28%"
"09.11.2016","3,2099","3,1550","3,2905","3,1540","","1,74%"
"08.11.2016","3,1550","3,1680","3,1859","3,1515","","-0,41%"
"07.11.2016","3,1681","3,1568","3,1806","3,1420","","0,35%"
"04.11.2016","3,1569","3,1101","3,1755","3,1091","","1,50%"
"03.11.2016","3,1101","3,1150","3,1242","3,1038","","-0,12%"
"02.11.2016","3,1138","3,1123","3,1265","3,1080","","0,07%"
"01.11.2016","3,1116","3,0938","3,1229","3,0909","","0,57%"
"31.10.2016","3,0939","3,1033","3,1172","3,0913","","-0,42%"
"28.10.2016","3,1069","3,1138","3,1283","3,1030","","-0,22%"
"27.10.2016","3,1138","3,0808","3,1152","3,0796","","1,05%"
"26.10.2016","3,0813","3,0711","3,0910","3,0680","","0,33%"
"25.10.2016","3,0711","3,0745","3,0913","3,0685","","-0,16%"
"24.10.2016","3,0760","3,0839","3,0895","3,0685","","-0,18%"
"21.10.2016","3,0814","3,0602","3,0905","3,0537","","0,70%"
"20.10.2016","3,0601","3,0605","3,0767","3,0510","","-0,05%"
"19.10.2016","3,0616","3,0941","3,0981","3,0535","","-1,09%"
"18.10.2016","3,0953","3,0963","3,1145","3,0870","","-0,02%"
"17.10.2016","3,0960","3,0855","3,1130","3,0855","","0,18%"
"14.10.2016","3,0905","3,0873","3,0997","3,0698","","0,15%"
"13.10.2016","3,0858","3,0848","3,1140","3,0785","","0,02%"
"12.10.2016","3,0853","3,0835","3,0981","3,0704","","0,04%"
"11.10.2016","3,0840","3,0713","3,0896","3,0665","","0,40%"
"10.10.2016","3,0718","3,0498","3,0786","3,0415","","0,68%"
"07.10.2016","3,0510","3,0398","3,0644","3,0330","","0,37%"
"06.10.2016","3,0397","3,0516","3,0610","3,0380","","-0,39%"
"05.10.2016","3,0516","3,0598","3,0664","3,0479","","-0,20%"
"04.10.2016","3,0578","3,0193","3,0663","3,0173","","1,29%"
"03.10.2016","3,0188","3,0020","3,0280","2,9979","","0,65%"
"30.09.2016","2,9992","2,9998","3,0128","2,9945","","-0,02%"
"29.09.2016","2,9997","2,9799","3,0106","2,9766","","0,67%"
"28.09.2016","2,9798","2,9741","2,9898","2,9705","","0,17%"
"27.09.2016","2,9746","2,9805","2,9860","2,9638","","-0,21%"
"26.09.2016","2,9810","2,9917","2,9991","2,9720","","0,47%"
"23.09.2016","2,9672","2,9425","2,9683","2,9406","","0,79%"
"22.09.2016","2,9440","2,9556","2,9585","2,9378","","-0,38%"
"21.09.2016","2,9551","2,9779","2,9886","2,9493","","-0,78%"
"20.09.2016","2,9782","2,9763","2,9824","2,9703","","0,04%"
"19.09.2016","2,9771","2,9836","2,9851","2,9702","","-0,13%"
"16.09.2016","2,9809","2,9682","2,9860","2,9610","","0,41%"
"15.09.2016","2,9687","2,9798","2,9890","2,9625","","-0,36%"
"14.09.2016","2,9794","2,9841","2,9882","2,9725","","-0,17%"
"13.09.2016","2,9846","2,9677","2,9897","2,9615","","0,58%"
"12.09.2016","2,9675","2,9693","2,9939","2,9615","","0,15%"
"09.09.2016","2,9630","2,9528","2,9797","2,9470","","0,40%"
"08.09.2016","2,9512","2,9363","2,9570","2,9289","","0,50%"
"07.09.2016","2,9364","2,9225","2,9440","2,9185","","0,48%"
"06.09.2016","2,9224","2,9457","2,9485","2,9196","","-0,79%"
"05.09.2016","2,9457","2,9491","2,9521","2,9401","","-0,18%"
"02.09.2016","2,9509","2,9611","2,9669","2,9411","","-0,35%"
"01.09.2016","2,9612","2,9580","2,9730","2,9536","","0,11%"
"31.08.2016","2,9580","2,9630","2,9669","2,9520","","-0,17%"
"30.08.2016","2,9631","2,9502","2,9679","2,9485","","0,42%"
"29.08.2016","2,9507","2,9569","2,9613","2,9475","","-0,10%"
"26.08.2016","2,9538","2,9339","2,9597","2,9220","","0,66%"
"25.08.2016","2,9344","2,9518","2,9545","2,9309","","-0,59%"
"24.08.2016","2,9517","2,9520","2,9691","2,9440","","0,02%"
"23.08.2016","2,9510","2,9429","2,9561","2,9295","","0,31%"
"22.08.2016","2,9419","2,9301","2,9518","2,9276","","0,43%"
"19.08.2016","2,9293","2,9267","2,9453","2,9240","","0,07%"
"18.08.2016","2,9273","2,9217","2,9360","2,9128","","0,17%"
