"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"31.12.2018","5,2887","5,2725","5,3220","5,2530","","0,31%"
"28.12.2018","5,2725","5,2850","5,3008","5,2430","","-0,24%"
"27.12.2018","5,2850","5,2749","5,3073","5,2644","","0,16%"
"26.12.2018","5,2766","5,2965","5,3088","5,2703","","-0,63%"
"25.12.2018","5,3101","5,3003","5,3560","5,2901","","0,40%"
"24.12.2018","5,2890","5,3197","5,3251","5,2762","","-0,55%"
"21.12.2018","5,3181","5,2619","5,3213","5,2300","","1,01%"
"20.12.2018","5,2649","5,2929","5,3303","5,2255","","-0,40%"
"19.12.2018","5,2860","5,3430","5,3551","5,1968","","-1,10%"
"18.12.2018","5,3450","5,3697","5,3902","5,3250","","-0,44%"
"17.12.2018","5,3686","5,3639","5,3973","5,3570","","0,10%"
"14.12.2018","5,3635","5,3352","5,4219","5,3301","","0,46%"
"13.12.2018","5,3392","5,3520","5,3917","5,2990","","-0,17%"
"12.12.2018","5,3482","5,3703","5,4016","5,3309","","-0,32%"
"11.12.2018","5,3653","5,3189","5,4045","5,3010","","0,76%"
"10.12.2018","5,3248","5,2993","5,3580","5,2666","","0,41%"
"07.12.2018","5,3029","5,3308","5,3518","5,2490","","-0,67%"
"06.12.2018","5,3386","5,3258","5,4050","5,3176","","0,23%"
"05.12.2018","5,3262","5,3833","5,4528","5,3020","","-1,14%"
"04.12.2018","5,3875","5,2550","5,4623","5,2332","","2,62%"
"03.12.2018","5,2501","5,2207","5,2939","5,1448","","0,72%"
"30.11.2018","5,2128","5,1625","5,2571","5,1350","","0,96%"
"29.11.2018","5,1631","5,2311","5,2389","5,1322","","-1,13%"
"28.11.2018","5,2219","5,2789","5,2829","5,2097","","-0,94%"
"27.11.2018","5,2716","5,2472","5,3003","5,2153","","0,46%"
"26.11.2018","5,2477","5,2877","5,3009","5,2110","","-0,75%"
"23.11.2018","5,2875","5,2870","5,3121","5,2520","","-0,16%"
"22.11.2018","5,2960","5,3121","5,3517","5,2730","","-0,23%"
"21.11.2018","5,3080","5,3768","5,4008","5,2787","","-1,29%"
"20.11.2018","5,3776","5,2995","5,4387","5,2970","","1,32%"
"19.11.2018","5,3075","5,3397","5,3734","5,2950","","-0,46%"
"16.11.2018","5,3318","5,3482","5,3951","5,3033","","-0,30%"
"15.11.2018","5,3481","5,4610","5,4715","5,3024","","-2,09%"
"14.11.2018","5,4624","5,4827","5,5013","5,4456","","-0,28%"
"13.11.2018","5,4776","5,4646","5,5299","5,4410","","0,16%"
"12.11.2018","5,4686","5,4678","5,5238","5,4231","","0,15%"
"09.11.2018","5,4606","5,4500","5,5421","5,4285","","0,04%"
"08.11.2018","5,4583","5,3569","5,4762","5,3540","","1,81%"
"07.11.2018","5,3612","5,3621","5,4179","5,3175","","0,10%"
"06.11.2018","5,3560","5,3129","5,4181","5,2940","","0,80%"
"05.11.2018","5,3134","5,4296","5,4755","5,2990","","-2,14%"
"02.11.2018","5,4296","5,5085","5,5279","5,3980","","-1,49%"
"01.11.2018","5,5118","5,5867","5,6525","5,5013","","-1,28%"
"31.10.2018","5,5835","5,4680","5,6322","5,4612","","1,99%"
"30.10.2018","5,4746","5,5677","5,5692","5,4608","","-1,56%"
"29.10.2018","5,5611","5,5969","5,6037","5,5072","","-0,57%"
"26.10.2018","5,5929","5,6353","5,6578","5,5626","","-0,74%"
"25.10.2018","5,6345","5,7041","5,7417","5,6122","","-1,19%"
"24.10.2018","5,7023","5,7469","5,7784","5,6531","","-0,60%"
"23.10.2018","5,7370","5,6683","5,8780","5,6650","","1,20%"
"22.10.2018","5,6689","5,6521","5,6958","5,6145","","0,47%"
"19.10.2018","5,6425","5,6345","5,7005","5,5800","","0,00%"
"18.10.2018","5,6425","5,5765","5,6831","5,5093","","1,06%"
"17.10.2018","5,5835","5,6815","5,7207","5,5285","","-1,79%"
"16.10.2018","5,6855","5,7896","5,8115","5,6623","","-1,75%"
"15.10.2018","5,7867","5,8698","5,9051","5,7424","","-1,45%"
"12.10.2018","5,8721","5,9253","5,9845","5,8068","","-0,91%"
"11.10.2018","5,9258","6,0720","6,0849","5,8945","","-2,47%"
"10.10.2018","6,0760","6,1042","6,1357","5,9971","","-0,41%"
"09.10.2018","6,1011","6,1064","6,1604","6,0610","","-0,16%"
"08.10.2018","6,1106","6,1380","6,1948","6,0908","","-0,37%"
"05.10.2018","6,1333","6,1520","6,2123","6,0700","","-0,48%"
"04.10.2018","6,1627","6,0390","6,2332","6,0339","","1,93%"
"03.10.2018","6,0458","5,9730","6,0931","5,9530","","1,02%"
"02.10.2018","5,9846","5,9315","6,0594","5,9005","","0,82%"
"01.10.2018","5,9360","6,0670","6,0792","5,8870","","-1,98%"
"28.09.2018","6,0560","6,0093","6,0942","5,9320","","0,80%"
"27.09.2018","6,0080","6,1218","6,1499","5,9460","","-1,62%"
"26.09.2018","6,1070","6,1570","6,2171","6,0520","","-0,89%"
"25.09.2018","6,1618","6,1320","6,2244","6,0370","","0,15%"
"24.09.2018","6,1524","6,2422","6,3361","6,0348","","-2,25%"
"21.09.2018","6,2937","6,2006","6,3071","6,1790","","1,58%"
"20.09.2018","6,1960","6,2639","6,3907","6,1180","","-0,85%"
"19.09.2018","6,2493","6,3887","6,4205","6,2119","","-2,12%"
"18.09.2018","6,3846","6,3258","6,4803","6,3064","","1,11%"
"17.09.2018","6,3144","6,1809","6,3292","6,1363","","2,34%"
"14.09.2018","6,1703","6,0640","6,1911","5,9820","","1,47%"
"13.09.2018","6,0812","6,3549","6,5653","5,9989","","-4,11%"
"12.09.2018","6,3420","6,4270","6,4821","6,3110","","-1,37%"
"11.09.2018","6,4301","6,4705","6,5002","6,4133","","-0,49%"
"10.09.2018","6,4616","6,3960","6,5071","6,3793","","1,01%"
"07.09.2018","6,3970","6,5810","6,6201","6,3615","","-2,82%"
"06.09.2018","6,5827","6,6105","6,6589","6,5339","","-0,28%"
