"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"30.12.2022","18,6905","18,6960","18,7238","18,5262","","0,01%"
"29.12.2022","18,6877","18,7028","18,7504","18,6691","","-0,12%"
"29.12.2022","18,7096","18,7319","18,7464","18,5486","","0,11%"
"28.12.2022","18,6889","18,7009","18,7467","18,6688","","-0,16%"
"28.12.2022","18,7180","18,6692","18,7465","18,4954","","0,22%"
"27.12.2022","18,6777","18,6669","18,7736","18,6151","","-0,13%"
"27.12.2022","18,7020","18,6948","18,8300","18,5282","","0,19%"
"26.12.2022","18,6670","18,6603","18,7948","18,6164","","-0,11%"
"26.12.2022","18,6878","18,6831","18,7533","18,4740","","0,12%"
"23.12.2022","18,6657","18,6442","18,7217","18,4860","","0,05%"
"22.12.2022","18,6570","18,6422","18,7208","18,6115","","-0,04%"
"22.12.2022","18,6653","18,5048","18,7097","18,5029","","0,12%"
"21.12.2022","18,6424","18,6220","18,7042","18,6219","","-0,18%"
"21.12.2022","18,6769","18,6501","18,7070","18,4750","","0,14%"
"20.12.2022","18,6502","18,6479","18,7076","18,5987","","-0,06%"
"20.12.2022","18,6621","18,6560","18,6898","18,4811","","0,12%"
"19.12.2022","18,6406","18,6353","18,6833","18,6219","","-0,06%"
"19.12.2022","18,6526","18,4780","18,6742","18,4770","","0,07%"
"16.12.2022","18,6393","18,6274","18,6760","18,4630","","-0,04%"
"15.12.2022","18,6460","18,6264","18,6810","18,5957","","0,02%"
"15.12.2022","18,6418","18,6295","18,6662","18,4340","","0,21%"
"14.12.2022","18,6031","18,5954","18,6791","18,5540","","-0,13%"
"14.12.2022","18,6282","18,6197","18,6587","18,4190","","0,13%"
"13.12.2022","18,6035","18,5970","18,6685","18,5361","","0,15%"
"13.12.2022","18,5750","18,7922","18,8685","18,5730","","0,02%"
"12.12.2022","18,5717","18,6241","18,7085","18,5362","","-0,37%"
"12.12.2022","18,6400","18,6504","18,6814","18,4485","","-0,07%"
"09.12.2022","18,6538","18,6408","18,6743","18,4535","","0,02%"
"08.12.2022","18,6503","18,6113","18,6905","18,6113","","0,04%"
"08.12.2022","18,6427","18,6467","18,6685","18,4573","","0,10%"
"07.12.2022","18,6243","18,6203","18,6860","18,6115","","-0,09%"
"07.12.2022","18,6404","18,6294","18,6559","18,4439","","0,11%"
"06.12.2022","18,6203","18,6170","18,6565","18,5964","","-0,06%"
"06.12.2022","18,6323","18,6266","18,6585","18,4503","","0,04%"
"05.12.2022","18,6248","18,6346","18,6600","18,5997","","-0,10%"
"05.12.2022","18,6434","18,6501","18,7123","18,4557","","0,06%"
"02.12.2022","18,6330","18,6339","18,6915","18,4527","","0,01%"
"01.12.2022","18,6303","18,6277","18,7069","18,6096","","-0,04%"
"01.12.2022","18,6377","18,5964","18,6705","18,4454","","0,14%"
"30.11.2022","18,6115","18,6099","18,6913","18,5756","","0,00%"
"30.11.2022","18,6121","18,6563","18,6856","18,4826","","0,12%"
"29.11.2022","18,5895","18,6567","18,7260","18,5848","","-0,27%"
"29.11.2022","18,6394","18,6185","18,6769","18,4190","","0,14%"
"28.11.2022","18,6138","18,6005","18,6863","18,5846","","-0,09%"
"28.11.2022","18,6305","18,6020","18,6528","18,4480","","0,21%"
"25.11.2022","18,5913","18,6091","18,6587","18,4462","","0,05%"
"24.11.2022","18,5816","18,5795","18,6619","18,5707","","-0,15%"
"24.11.2022","18,6103","18,6176","18,6661","18,4397","","0,03%"
"23.11.2022","18,6046","18,6058","18,6457","18,5819","","-0,07%"
"23.11.2022","18,6174","18,6208","18,6418","18,4291","","0,07%"
"22.11.2022","18,6037","18,6081","18,6313","18,5786","","-0,05%"
"22.11.2022","18,6135","18,6151","18,6556","18,4293","","0,17%"
"21.11.2022","18,5819","18,6073","18,6469","18,5709","","-0,21%"
"21.11.2022","18,6212","18,6267","18,6544","18,4054","","-0,01%"
"18.11.2022","18,6236","18,5861","18,6628","18,4567","","0,19%"
"17.11.2022","18,5889","18,5445","18,6321","18,5337","","0,01%"
"17.11.2022","18,5878","18,6199","18,6500","18,4500","","0,15%"
"16.11.2022","18,5599","18,5920","18,6280","18,5429","","-0,27%"
"16.11.2022","18,6094","18,6187","18,6555","18,4324","","0,03%"
"15.11.2022","18,6036","18,5880","18,6612","18,5565","","-0,04%"
"15.11.2022","18,6106","18,5924","18,6411","18,4167","","0,05%"
"14.11.2022","18,6017","18,5846","18,6494","18,5427","","-0,09%"
"14.11.2022","18,6180","18,5915","18,6549","18,3854","","0,21%"
"11.11.2022","18,5784","18,4911","18,5929","18,2909","","0,04%"
"10.11.2022","18,5717","18,4593","18,5848","18,4576","","0,45%"
"10.11.2022","18,4892","18,5833","18,6364","18,3884","","0,16%"
"09.11.2022","18,4593","18,5678","18,6728","18,4592","","-0,71%"
"09.11.2022","18,5907","18,5335","18,6203","18,3670","","0,12%"
"08.11.2022","18,5686","18,5191","18,6462","18,4966","","0,18%"
"08.11.2022","18,5361","18,4509","18,6177","18,3277","","0,04%"
"07.11.2022","18,5284","18,4374","18,6100","18,4071","","0,45%"
"07.11.2022","18,4452","18,5677","18,6282","18,3935","","-0,66%"
"04.11.2022","18,5684","18,6170","18,6711","18,4128","","0,01%"
"03.11.2022","18,5657","18,5929","18,6794","18,4910","","-0,28%"
"03.11.2022","18,6176","18,6234","18,6442","18,4322","","0,08%"
"02.11.2022","18,6021","18,5842","18,6576","18,5842","","-0,14%"
"02.11.2022","18,6289","18,5722","18,6510","18,4310","","0,15%"
"01.11.2022","18,6019","18,5549","18,6640","18,5440","","0,10%"
"01.11.2022","18,5833","18,6094","18,6744","18,4646","","0,16%"
