"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"29.12.2017","3,7900","3,7748","3,7975","3,7592","","0,40%"
"28.12.2017","3,7749","3,8160","3,8255","3,7630","","-1,07%"
"27.12.2017","3,8156","3,8110","3,8283","3,8020","","0,09%"
"26.12.2017","3,8120","3,8091","3,8200","3,7946","","0,12%"
"25.12.2017","3,8074","3,8097","3,8200","3,7910","","-0,22%"
"22.12.2017","3,8157","3,8182","3,8277","3,8067","","-0,05%"
"21.12.2017","3,8175","3,8193","3,8342","3,8138","","-0,07%"
"20.12.2017","3,8203","3,8331","3,8453","3,8133","","-0,35%"
"19.12.2017","3,8336","3,8297","3,8455","3,8198","","0,09%"
"18.12.2017","3,8300","3,8628","3,8706","3,8203","","-0,82%"
"15.12.2017","3,8617","3,8888","3,8902","3,8478","","-0,65%"
"14.12.2017","3,8869","3,8114","3,8972","3,8076","","1,97%"
"13.12.2017","3,8119","3,8479","3,8655","3,8083","","-0,94%"
"12.12.2017","3,8479","3,8380","3,8609","3,8213","","0,29%"
"11.12.2017","3,8367","3,8387","3,8400","3,8140","","-0,05%"
"08.12.2017","3,8388","3,8594","3,8746","3,8238","","-0,63%"
"07.12.2017","3,8631","3,8507","3,8740","3,8465","","0,32%"
"06.12.2017","3,8506","3,8438","3,8640","3,8385","","0,16%"
"05.12.2017","3,8444","3,8742","3,8801","3,8375","","-0,77%"
"04.12.2017","3,8742","3,9162","3,9466","3,8621","","-0,99%"
"01.12.2017","3,9131","3,9178","3,9475","3,9059","","-0,15%"
"30.11.2017","3,9190","3,9618","3,9626","3,9030","","-1,07%"
"29.11.2017","3,9613","3,9641","3,9737","3,9400","","-0,08%"
"28.11.2017","3,9645","3,9059","3,9736","3,9017","","1,49%"
"27.11.2017","3,9062","3,9498","3,9562","3,8875","","-0,95%"
"24.11.2017","3,9437","3,9200","3,9576","3,9090","","0,60%"
"23.11.2017","3,9201","3,9179","3,9475","3,8960","","0,04%"
"22.11.2017","3,9184","3,9548","3,9825","3,9115","","-0,97%"
"21.11.2017","3,9566","3,9289","3,9778","3,9180","","0,71%"
"20.11.2017","3,9286","3,8772","3,9300","3,8537","","1,32%"
"17.11.2017","3,8773","3,8647","3,9055","3,8513","","0,37%"
"16.11.2017","3,8629","3,8808","3,8891","3,8485","","-0,47%"
"15.11.2017","3,8811","3,8852","3,9015","3,8690","","-0,13%"
"14.11.2017","3,8860","3,8685","3,9109","3,8577","","0,40%"
"13.11.2017","3,8706","3,8602","3,8892","3,8460","","0,18%"
"10.11.2017","3,8636","3,8612","3,8818","3,8450","","-0,03%"
"09.11.2017","3,8647","3,8677","3,8824","3,8367","","-0,05%"
"08.11.2017","3,8665","3,8851","3,9020","3,8549","","-0,46%"
"07.11.2017","3,8844","3,8278","3,8966","3,8235","","1,47%"
"06.11.2017","3,8280","3,8825","3,8904","3,8205","","-1,50%"
"03.11.2017","3,8864","3,7973","3,8899","3,7944","","2,34%"
"02.11.2017","3,7975","3,8122","3,8270","3,7894","","-0,41%"
"01.11.2017","3,8130","3,7917","3,8340","3,7830","","0,55%"
"31.10.2017","3,7920","3,7793","3,8151","3,7620","","0,32%"
"30.10.2017","3,7798","3,7910","3,7948","3,7610","","-0,23%"
"27.10.2017","3,7885","3,8198","3,8432","3,7830","","-0,83%"
"26.10.2017","3,8203","3,7667","3,8353","3,7489","","1,42%"
"25.10.2017","3,7668","3,7421","3,8082","3,7167","","0,68%"
"24.10.2017","3,7414","3,7158","3,7593","3,7011","","0,68%"
"23.10.2017","3,7163","3,6709","3,7230","3,6707","","1,22%"
"20.10.2017","3,6714","3,6454","3,6840","3,6438","","0,71%"
"19.10.2017","3,6456","3,6791","3,6814","3,6422","","-0,85%"
"18.10.2017","3,6768","3,6665","3,6880","3,6602","","0,29%"
"17.10.2017","3,6663","3,6477","3,6919","3,6440","","0,55%"
"16.10.2017","3,6463","3,6303","3,6525","3,6279","","0,31%"
