"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"31.12.2021","13,3211","12,9431","13,6195","12,8020","","0,04%"
"30.12.2021","13,3161","13,1458","13,6145","13,0002","","1,31%"
"30.12.2021","13,1440","12,8265","13,6136","12,4568","","0,14%"
"29.12.2021","13,1260","12,6307","13,4162","12,4235","","3,86%"
"29.12.2021","12,6380","11,7998","12,6822","11,7521","","0,02%"
"28.12.2021","12,6359","11,7978","12,6912","11,7456","","7,04%"
"28.12.2021","11,8049","11,6873","11,9491","11,4441","","0,06%"
"27.12.2021","11,7980","11,6802","11,9420","11,5619","","0,99%"
"27.12.2021","11,6822","10,5021","11,6982","10,5021","","9,69%"
"24.12.2021","10,6500","11,0446","12,0994","10,3084","","-0,97%"
"23.12.2021","10,7547","11,3959","12,0865","10,4216","","-5,69%"
"23.12.2021","11,4040","12,3074","12,4142","10,3768","","1,26%"
"22.12.2021","11,2623","11,9896","12,1024","10,1905","","-6,34%"
"22.12.2021","12,0251","12,4737","12,7026","11,9426","","0,36%"
"21.12.2021","11,9825","12,4331","12,6994","11,9825","","-3,64%"
"21.12.2021","12,4351","13,3820","13,9995","11,4720","","0,05%"
"20.12.2021","12,4290","13,4422","14,0352","11,1147","","-7,98%"
"20.12.2021","13,5070","16,4818","18,3644","13,5040","","-17,73%"
"17.12.2021","16,4185","15,6730","17,0710","15,6200","","0,03%"
"16.12.2021","16,4135","15,6674","17,1503","15,6275","","4,74%"
"16.12.2021","15,6709","14,7969","15,7395","14,7747","","0,03%"
"15.12.2021","15,6661","14,7815","15,7262","14,7727","","5,91%"
"15.12.2021","14,7925","14,3936","14,8380","14,3588","","0,02%"
"14.12.2021","14,7901","14,3837","14,8330","14,3553","","2,78%"
"14.12.2021","14,3906","13,8139","14,4321","13,7876","","0,05%"
"13.12.2021","14,3841","13,7953","14,4328","13,7953","","4,13%"
"13.12.2021","13,8134","13,8853","14,6362","13,6582","","-0,48%"
"10.12.2021","13,8801","13,7860","13,9553","13,7027","","0,06%"
"09.12.2021","13,8719","13,7817","13,9512","13,7465","","0,62%"
"09.12.2021","13,7858","13,6786","13,8424","13,5891","","0,03%"
"08.12.2021","13,7815","13,6722","13,8383","13,5985","","0,78%"
"08.12.2021","13,6753","13,4917","13,8122","13,4407","","0,02%"
"07.12.2021","13,6720","13,4885","13,8070","13,4655","","1,31%"
"07.12.2021","13,4947","13,7972","13,8451","13,4002","","0,02%"
"06.12.2021","13,4925","13,7866","13,8425","13,4195","","-2,23%"
"06.12.2021","13,8002","13,7027","13,8956","13,5796","","0,71%"
"03.12.2021","13,7027","13,6811","13,8916","13,3007","","0,02%"
"02.12.2021","13,6999","13,6784","13,8889","13,4305","","0,11%"
"02.12.2021","13,6855","13,3341","13,8900","13,2660","","0,05%"
"01.12.2021","13,6783","13,2635","13,8190","13,2015","","3,11%"
"01.12.2021","13,2660","13,4831","13,8741","12,3754","","0,01%"
"30.11.2021","13,2646","13,4806","13,8430","12,4363","","-1,58%"
"30.11.2021","13,4782","12,8264","13,7441","12,6870","","0,04%"
"29.11.2021","13,4732","12,8214","13,7391","12,7069","","5,10%"
"29.11.2021","12,8189","12,4127","12,9232","12,3379","","3,17%"
"26.11.2021","12,4253","11,9104","12,6458","11,8734","","0,03%"
"25.11.2021","12,4217","11,9883","12,5303","11,9102","","3,60%"
"25.11.2021","11,9904","12,1731","12,2925","11,8260","","-0,14%"
"24.11.2021","12,0067","12,0856","12,2050","11,8400","","-0,67%"
"24.11.2021","12,0876","12,8214","13,1150","11,5171","","0,02%"
"23.11.2021","12,0855","12,8192","13,0810","11,6174","","-5,74%"
"23.11.2021","12,8216","11,3399","13,4937","11,3158","","0,02%"
"22.11.2021","12,8189","11,4064","13,2600","11,3363","","12,60%"
"22.11.2021","11,3840","11,2305","11,4767","10,9240","","1,32%"
"19.11.2021","11,2360","10,9640","11,3237","10,7980","","0,04%"
"18.11.2021","11,2310","10,9935","11,3157","10,7945","","2,14%"
"18.11.2021","10,9955","10,6252","11,2870","10,4160","","0,05%"
"17.11.2021","10,9905","10,6232","11,2850","10,4165","","3,41%"
"17.11.2021","10,6277","10,3587","10,7004","10,3074","","0,16%"
"16.11.2021","10,6103","10,3410","10,6829","10,2961","","2,58%"
"16.11.2021","10,3430","10,0543","10,4126","10,0315","","0,03%"
"15.11.2021","10,3395","10,0508","10,4091","10,0345","","2,76%"
"15.11.2021","10,0615","9,9945","10,0854","9,9375","","0,83%"
"12.11.2021","9,9784","9,8967","10,0236","9,8503","","0,03%"
"11.11.2021","9,9751","9,8899","10,0240","9,8495","","0,71%"
"11.11.2021","9,9052","9,8421","9,9870","9,8287","","0,05%"
"10.11.2021","9,9006","9,8379","9,9726","9,8150","","0,59%"
"10.11.2021","9,8427","9,7308","9,8788","9,7059","","0,05%"
"09.11.2021","9,8381","9,7252","9,8747","9,7130","","1,08%"
"09.11.2021","9,7331","9,6760","9,7422","9,6479","","0,08%"
"08.11.2021","9,7254","9,6681","9,7347","9,6510","","0,43%"
"08.11.2021","9,6840","9,6954","9,7481","9,6444","","-0,10%"
"05.11.2021","9,6933","9,6887","9,7646","9,6682","","0,20%"
"04.11.2021","9,6741","9,6842","9,7432","9,6505","","-0,31%"
