"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"31.12.2020","7,4370","7,3835","7,4960","7,3456","","0,15%"
"30.12.2020","7,4257","7,3785","7,4921","7,3429","","0,59%"
"30.12.2020","7,3823","7,3874","7,3980","7,3009","","-0,02%"
"29.12.2020","7,3837","7,3775","7,3941","7,2975","","-0,04%"
"29.12.2020","7,3865","7,4496","7,4798","7,3330","","0,07%"
"28.12.2020","7,3815","7,4323","7,4759","7,3295","","-0,87%"
"28.12.2020","7,4466","7,5702","7,5733","7,4044","","0,17%"
"27.12.2020","7,4342","7,5835","7,5835","7,4009","","-1,63%"
"25.12.2020","7,5575","7,5856","7,5998","7,5355","","-0,34%"
"24.12.2020","7,5835","7,5835","7,5937","7,5275","","0,05%"
"24.12.2020","7,5797","7,6398","7,6753","7,5450","","-0,05%"
"23.12.2020","7,5835","7,6374","7,6720","7,5435","","-0,75%"
"23.12.2020","7,6411","7,6634","7,6680","7,6130","","0,09%"
"22.12.2020","7,6343","7,6565","7,6711","7,6095","","-0,36%"
"22.12.2020","7,6620","7,6536","7,6782","7,6163","","0,34%"
"21.12.2020","7,6360","7,6501","7,6735","7,6128","","-0,24%"
"21.12.2020","7,6541","7,6310","7,7392","7,6257","","0,05%"
"20.12.2020","7,6501","7,6239","7,7344","7,6222","","0,28%"
"18.12.2020","7,6289","7,7009","7,7590","7,6139","","0,09%"
"17.12.2020","7,6217","7,6988","7,7540","7,6104","","-1,03%"
"17.12.2020","7,7009","7,7999","7,8064","7,6908","","0,08%"
"16.12.2020","7,6944","7,7944","7,8023","7,6875","","-1,34%"
"16.12.2020","7,7991","7,8365","7,8468","7,7542","","0,06%"
"15.12.2020","7,7944","7,8301","7,8438","7,7535","","-0,52%"
"15.12.2020","7,8350","7,8534","7,8718","7,8080","","0,10%"
"14.12.2020","7,8275","7,8484","7,8668","7,8045","","-0,33%"
"14.12.2020","7,8533","7,8601","7,9408","7,8210","","0,08%"
"13.12.2020","7,8470","7,8562","7,9358","7,8175","","-0,18%"
"11.12.2020","7,8612","7,8871","8,0315","7,8163","","0,08%"
"10.12.2020","7,8545","7,8738","8,0269","7,8128","","-0,43%"
"10.12.2020","7,8884","7,8233","7,9237","7,8138","","0,13%"
"09.12.2020","7,8785","7,8213","7,9240","7,8183","","0,66%"
"09.12.2020","7,8266","7,8246","7,8600","7,7941","","0,07%"
"08.12.2020","7,8208","7,8105","7,8513","7,7845","","0,07%"
"08.12.2020","7,8155","7,8065","7,8528","7,7910","","0,07%"
